"(2, 2, 2, 2, 3)",66668
"(2, 2, 2, 2, 4)",61022
"(2, 2, 2, 2, 5)",67924
"(2, 2, 2, 2, 6)",61654
"(2, 2, 2, 2, 7)",73907
"(2, 2, 2, 2, 8)",64918
"(2, 2, 2, 2, 9)",59411
"(2, 2, 2, 2, 10)",72735
"(2, 2, 2, 2, 11)",58923
"(2, 2, 2, 2, 12)",65776
"(2, 2, 2, 2, 13)",71981
"(2, 2, 2, 2, 14)",61621
"(2, 2, 2, 3, 3)",215025
"(2, 2, 2, 3, 4)",434322
"(2, 2, 2, 3, 5)",470366
"(2, 2, 2, 3, 6)",432125
"(2, 2, 2, 3, 7)",424820
"(2, 2, 2, 3, 8)",435432
"(2, 2, 2, 3, 9)",429981
"(2, 2, 2, 3, 10)",439945
"(2, 2, 2, 3, 11)",438975
"(2, 2, 2, 3, 12)",429723
"(2, 2, 2, 3, 13)",462158
"(2, 2, 2, 3, 14)",447766
"(2, 2, 2, 4, 4)",208809
"(2, 2, 2, 4, 5)",422665
"(2, 2, 2, 4, 6)",438195
"(2, 2, 2, 4, 7)",450472
"(2, 2, 2, 4, 8)",421523
"(2, 2, 2, 4, 9)",444837
"(2, 2, 2, 4, 10)",444403
"(2, 2, 2, 4, 11)",437835
"(2, 2, 2, 4, 12)",432924
"(2, 2, 2, 4, 13)",442145
"(2, 2, 2, 4, 14)",463638
"(2, 2, 2, 5, 5)",214509
"(2, 2, 2, 5, 6)",439885
"(2, 2, 2, 5, 7)",432583
"(2, 2, 2, 5, 8)",422819
"(2, 2, 2, 5, 9)",430005
"(2, 2, 2, 5, 10)",450835
"(2, 2, 2, 5, 11)",443991
"(2, 2, 2, 5, 12)",424767
"(2, 2, 2, 5, 13)",471633
"(2, 2, 2, 5, 14)",464868
"(2, 2, 2, 6, 6)",203164
"(2, 2, 2, 6, 7)",423871
"(2, 2, 2, 6, 8)",431508
"(2, 2, 2, 6, 9)",422108
"(2, 2, 2, 6, 10)",434930
"(2, 2, 2, 6, 11)",407505
"(2, 2, 2, 6, 12)",422177
"(2, 2, 2, 6, 13)",459475
"(2, 2, 2, 6, 14)",444343
"(2, 2, 2, 7, 7)",211435
"(2, 2, 2, 7, 8)",436576
"(2, 2, 2, 7, 9)",448997
"(2, 2, 2, 7, 10)",443212
"(2, 2, 2, 7, 11)",440036
"(2, 2, 2, 7, 12)",463742
"(2, 2, 2, 7, 13)",468802
"(2, 2, 2, 7, 14)",444558
"(2, 2, 2, 8, 8)",194126
"(2, 2, 2, 8, 9)",430001
"(2, 2, 2, 8, 10)",463196
"(2, 2, 2, 8, 11)",446954
"(2, 2, 2, 8, 12)",435140
"(2, 2, 2, 8, 13)",456902
"(2, 2, 2, 8, 14)",448633
"(2, 2, 2, 9, 9)",170078
"(2, 2, 2, 9, 10)",435185
"(2, 2, 2, 9, 11)",448844
"(2, 2, 2, 9, 12)",437657
"(2, 2, 2, 9, 13)",479989
"(2, 2, 2, 9, 14)",427289
"(2, 2, 2, 10, 10)",177966
"(2, 2, 2, 10, 11)",463211
"(2, 2, 2, 10, 12)",439880
"(2, 2, 2, 10, 13)",459105
"(2, 2, 2, 10, 14)",446716
"(2, 2, 2, 11, 11)",165603
"(2, 2, 2, 11, 12)",447552
"(2, 2, 2, 11, 13)",447783
"(2, 2, 2, 11, 14)",428455
"(2, 2, 2, 12, 12)",170705
"(2, 2, 2, 12, 13)",473976
"(2, 2, 2, 12, 14)",432069
"(2, 2, 2, 13, 13)",191771
"(2, 2, 2, 13, 14)",462285
"(2, 2, 2, 14, 14)",168935
"(2, 2, 3, 3, 3)",200904
"(2, 2, 3, 3, 4)",585710
"(2, 2, 3, 3, 5)",586491
"(2, 2, 3, 3, 6)",589803
"(2, 2, 3, 3, 7)",589837
"(2, 2, 3, 3, 8)",561883
"(2, 2, 3, 3, 9)",573882
"(2, 2, 3, 3, 10)",586536
"(2, 2, 3, 3, 11)",584721
"(2, 2, 3, 3, 12)",610012
"(2, 2, 3, 3, 13)",608716
"(2, 2, 3, 3, 14)",611508
"(2, 2, 3, 4, 4)",484397
"(2, 2, 3, 4, 5)",507106
"(2, 2, 3, 4, 6)",485937
"(2, 2, 3, 4, 7)",537363
"(2, 2, 3, 4, 8)",530715
"(2, 2, 3, 4, 9)",521750
"(2, 2, 3, 4, 10)",524802
"(2, 2, 3, 4, 11)",544795
"(2, 2, 3, 4, 12)",559725
"(2, 2, 3, 4, 13)",572797
"(2, 2, 3, 4, 14)",609554
"(2, 2, 3, 5, 5)",448106
"(2, 2, 3, 5, 6)",518149
"(2, 2, 3, 5, 7)",511985
"(2, 2, 3, 5, 8)",496816
"(2, 2, 3, 5, 9)",539692
"(2, 2, 3, 5, 10)",559552
"(2, 2, 3, 5, 11)",552045
"(2, 2, 3, 5, 12)",533637
"(2, 2, 3, 5, 13)",582108
"(2, 2, 3, 5, 14)",611761
"(2, 2, 3, 6, 6)",430019
"(2, 2, 3, 6, 7)",476341
"(2, 2, 3, 6, 8)",511404
